H1,H2,H3,H4,H5,H6,H7,H8,HWMean,Q1,Q2,Proj1,Proj2,total
9.5,10.0,10.0,10.0,9.9,6.5,10.0,6.0,8.9875,94.23076923,85.3,87.5,90.33,64.996826923
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.84615385,100.0,92.75,93.0,69.180865385
10.0,10.0,9.5,9.8,9.0,9.0,9.75,10.0,9.63125,71.42857143,84.14634146,94.5,91.0,64.304183362
10.0,9.75,9.8,10.0,9.9,10.0,9.5,10.0,9.868749999999999,58.42105263,74.26470588,96.5,95.7,63.167436145
10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.9875,84.73684211,90.44117647,89.5,92.0,65.93611068150001
9.5,9.9,10.0,9.95,9.5,9.0,10.0,10.0,9.73125,80.0,74.3902439,96.5,96.0,65.37791158499999
10.0,9.0,10.0,10.0,9.8,10.0,10.0,10.0,9.85,88.94736842,87.5,93.8,95.0,67.484736842
10.0,9.5,10.0,10.0,10.0,10.0,10.0,9.8,9.9125,94.61538462,84.12,92.75,92.83,66.810788462
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.84615385,78.79,95.75,92.67,66.020615385
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.92307692,86.81,96.5,92.83,67.721307692
10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.9375,81.80952381,88.41463415,94.5,91.0,66.07439750350001
10.0,10.0,10.0,10.0,9.9,10.0,9.0,10.0,9.8625,95.0,81.75,92.88,93.33,66.62975
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.38461538,100.0,95.0,93.33,69.87096153799999
10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,9.9875,92.69230769,90.19,99.63,98.0,70.219980769
10.0,10.0,9.9,9.7,9.7,10.0,10.0,10.0,9.9125,65.57894737,75.73529412,91.0,96.3,63.166938855
10.0,10.0,10.0,9.9,9.8,10.0,9.5,10.0,9.9,55.78947368,79.77941176,92.8,95.3,62.900859131999994
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,83.44,98.38,92.67,68.3595
10.0,10.0,10.0,10.0,9.9,8.0,8.5,10.0,9.55,96.07692308,54.5,88.0,88.88,60.467692308000004
9.5,10.0,9.0,10.0,9.5,9.0,10.0,10.0,9.625,84.28571429,87.19512195,95.0,95.0,67.1453397215
10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,9.95,90.94736842,89.70588235,90.0,92.0,66.5356191945
10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,90.76923077,93.6,95.5,92.33,68.291923077
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.38461538,90.04,95.75,92.33,67.876961538
10.0,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.95,95.0,92.12,95.75,93.0,68.703
10.0,10.0,10.0,9.9,9.8,10.0,10.0,10.0,9.9625,79.36842105,87.5,89.5,9.0,44.200592105
